Linux 3.10.0-514.26.2.el7.x86_64 (ip-10-0-1-10) 	01/08/17 	_x86_64_	(2 CPU)

00:00:01        CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest    %gnice     %idle
04:50:01          0      7.93      0.00      7.58      0.00      0.33      0.00      0.00      0.00      0.00     84.16
04:50:01          1      8.26      0.00      7.83      0.00      0.34      0.00      0.05      0.00      0.00     83.52
05:00:01        all      7.90      0.00      7.57      0.00      0.34      0.00      0.02      0.00      0.00     84.17
05:00:01          0      7.79      0.00      7.39      0.00      0.34      0.00      0.00      0.00      0.00     84.48
05:00:01          1      8.01      0.00      7.75      0.00      0.34      0.00      0.04      0.00      0.00     83.85
05:10:01        all      7.77      0.00      7.34      0.00      0.34      0.00      0.02      0.00      0.00     84.53
05:10:01          0      7.63      0.00      7.18      0.00      0.34      0.00      0.00      0.00      0.00     84.85
05:10:01          1      7.90      0.00      7.50      0.00      0.34      0.00      0.05      0.00      0.00     84.21
05:20:01        all      7.79      0.00      7.38      0.00      0.34      0.00      0.03      0.00      0.00     84.46
05:20:01          0      7.69      0.00      7.28      0.00      0.34      0.00      0.00      0.00      0.00     84.69
05:20:01          1      7.89      0.00      7.48      0.00      0.34      0.00      0.05      0.00      0.00     84.23
05:30:01        all      7.48      0.00      7.03      0.00      0.34      0.00      0.03      0.00      0.00     85.13
05:30:01          0      7.42      0.00      6.96      0.00      0.33      0.00      0.00      0.00      0.00     85.28
05:30:01          1      7.53      0.00      7.10      0.00      0.34      0.00      0.05      0.00      0.00     84.98

05:30:01        CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest    %gnice     %idle
05:40:01        all      7.78      0.00      7.38      0.00      0.33      0.00      0.02      0.00      0.00     84.49
05:40:01          0      7.79      0.00      7.34      0.00      0.33      0.00      0.00      0.00      0.00     84.55
05:40:01          1      7.77      0.00      7.41      0.00      0.33      0.00      0.04      0.00      0.00     84.44
05:50:01        all      7.95      0.00      7.50      0.00      0.34      0.00      0.02      0.00      0.00     84.20
05:50:01          0      7.82      0.00      7.32      0.00      0.33      0.00      0.00      0.00      0.00     84.52
05:50:01          1      8.08      0.00      7.68      0.00      0.34      0.00      0.04      0.00      0.00     83.86
06:00:01        all      8.10      0.00      7.42      0.00      0.33      0.00      0.02      0.00      0.00     84.13
06:00:01          0      7.94      0.00      7.23      0.00      0.33      0.00      0.00      0.00      0.00     84.49
06:00:01          1      8.25      0.00      7.61      0.00      0.34      0.00      0.04      0.00      0.00     83.76
06:10:01        all      8.94      0.00      8.39      0.00      0.32      0.00      0.02      0.00      0.00     82.32
06:10:01          0      8.85      0.00      8.28      0.00      0.32      0.00      0.00      0.00      0.00     82.55
06:10:01          1      9.02      0.00      8.51      0.00      0.33      0.00      0.05      0.00      0.00     82.10
06:20:01        all      9.03      0.00      8.59      0.00      0.32      0.00      0.03      0.00      0.00     82.04
06:20:01          0      8.99      0.00      8.47      0.00      0.32      0.00      0.00      0.00      0.00     82.22
06:20:01          1      9.06      0.00      8.71      0.00      0.33      0.00      0.05      0.00      0.00     81.86
06:30:01        all      9.10      0.00      8.71      0.00      0.32      0.00      0.02      0.00      0.00     81.84
06:30:01          0      8.90      0.00      8.49      0.00      0.32      0.00      0.00      0.00      0.00     82.29
06:30:01          1      9.30      0.00      8.93      0.00      0.32      0.00      0.05      0.00      0.00     81.39
06:40:01        all     10.61      0.00      8.72      0.00      0.32      0.00      0.05      0.00      0.00     80.31
06:40:01          0     10.44      0.00      8.52      0.00      0.31      0.00      0.00      0.00      0.00     80.72
06:40:01          1     10.78      0.00      8.91      0.00      0.32      0.00      0.09      0.00      0.00     79.89
06:50:02        all      8.47      0.00      8.05      0.00      0.33      0.00      0.03      0.00      0.00     83.12
06:50:02          0      8.26      0.00      7.93      0.00      0.33      0.00      0.00      0.00      0.00     83.49
06:50:02          1      8.69      0.00      8.16      0.00      0.33      0.00      0.05      0.00      0.00     82.76
07:00:01        all      8.55      0.00      8.13      0.00      0.32      0.00      0.02      0.00      0.00     82.97
07:00:01          0      8.41      0.00      7.98      0.00      0.32      0.00      0.00      0.00      0.00     83.28
07:00:01          1      8.70      0.00      8.28      0.00      0.33      0.00      0.05      0.00      0.00     82.65
07:10:01        all      8.63      0.00      8.19      0.00      0.32      0.00      0.02      0.00      0.00     82.84
07:10:01          0      8.47      0.00      7.99      0.00      0.32      0.00      0.00      0.00      0.00     83.22
07:10:01          1      8.79      0.00      8.39      0.00      0.33      0.00      0.05      0.00      0.00     82.45
07:20:01        all      8.51      0.00      8.09      0.00      0.33      0.00      0.03      0.00      0.00     83.04
07:20:01          0      8.37      0.00      7.95      0.00      0.33      0.00      0.00      0.00      0.00     83.34
07:20:01          1      8.64      0.00      8.23      0.00      0.33      0.00      0.05      0.00      0.00     82.74

07:20:01        CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest    %gnice     %idle
07:30:01        all      8.58      0.00      8.21      0.00      0.33      0.00      0.03      0.00      0.00     82.85
07:30:01          0      8.40      0.00      8.04      0.00      0.32      0.00      0.00      0.00      0.00     83.24
07:30:01          1      8.77      0.00      8.39      0.00      0.33      0.00      0.05      0.00      0.00     82.46
07:40:01        all      8.55      0.00      8.18      0.00      0.33      0.00      0.02      0.00      0.00     82.92
07:40:01          0      8.46      0.00      8.02      0.00      0.32      0.00      0.00      0.00      0.00     83.19
07:40:01          1      8.64      0.00      8.34      0.00      0.33      0.00      0.04      0.00      0.00     82.65
07:50:01        all      8.47      0.00      8.04      0.00      0.32      0.00      0.02      0.00      0.00     83.14
07:50:01          0      8.25      0.00      7.78      0.00      0.32      0.00      0.00      0.00      0.00     83.65
07:50:01          1      8.69      0.00      8.30      0.00      0.33      0.00      0.05      0.00      0.00     82.63
08:00:01        all      8.35      0.00      8.05      0.00      0.33      0.00      0.02      0.00      0.00     83.24
08:00:01          0      8.30      0.00      7.97      0.00      0.32      0.00      0.00      0.00      0.00     83.40
08:00:01          1      8.41      0.00      8.14      0.00      0.33      0.00      0.05      0.00      0.00     83.08
08:10:01        all      8.06      0.00      7.65      0.00      0.33      0.00      0.03      0.00      0.00     83.94
08:10:01          0      8.03      0.00      7.57      0.00      0.32      0.00      0.00      0.00      0.00     84.08
08:10:01          1      8.09      0.00      7.73      0.00      0.33      0.00      0.05      0.00      0.00     83.80
08:20:01        all      7.95      0.00      7.59      0.00      0.33      0.00      0.03      0.00      0.00     84.11
08:20:01          0      7.80      0.00      7.42      0.00      0.33      0.00      0.00      0.00      0.00     84.45
08:20:01          1      8.10      0.00      7.76      0.00      0.33      0.00      0.05      0.00      0.00     83.76
08:30:01        all      8.02      0.00      7.59      0.00      0.33      0.00      0.02      0.00      0.00     84.04
08:30:01          0      7.96      0.00      7.53      0.00      0.33      0.00      0.00      0.00      0.00     84.18
08:30:01          1      8.07      0.00      7.64      0.00      0.33      0.00      0.05      0.00      0.00     83.91
08:40:01        all     12.78      0.00      8.58      0.00      0.32      0.00      0.08      0.00      0.00     78.24
08:40:01          0     12.75      0.00      8.48      0.00      0.32      0.00      0.00      0.00      0.00     78.45
08:40:01          1     12.81      0.00      8.69      0.00      0.32      0.00      0.16      0.00      0.00     78.01
08:50:01        all     18.09      0.00      8.82      0.04      0.31      0.00      0.09      0.00      0.00     72.65
08:50:01          0     17.87      0.00      8.70      0.05      0.30      0.00      0.00      0.00      0.00     73.08
08:50:01          1     18.31      0.00      8.94      0.03      0.31      0.00      0.18      0.00      0.00     72.22
09:00:02        all     13.09      0.00      8.70      0.02      0.31      0.00      0.05      0.00      0.00     77.82
